,title,hits
256,저는요 아이브 만능 리더 안댕댕🐶 #IAMchallenge #아이엠챌린지 #IVE #아이브 #ANYUJIN #안유진 #IAM #아이엠 #IveIVE #Shorts,3482911
410,아이브 ＜I AM＞ 1위 앵콜 무대 대신 채워준 이채연 l #쇼챔피언,3455713
277,내가 봐도 너무 이쁨🤣 #아이브 #장원영,3412151
162,[EN/JP/ID] 아이브에게 숨 참다 못해 숨멎💘 정지훈 선생님과 아이브 학생들의 원데이 클래스 ㅣ시즌비시즌2 EP.4,3387059
475,우리만의 자유로운 Nineteen’s 'Kitsch' 😈 #Kitsch #Kitschchallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,3343373
129,1% vs 100% 🔥🔥 쌍둥이가 퍼센트댄스로 추는 IVE [아이브] - I AM [아이엠] #twins #shorts,3138497
28,"230520 IVE (아이브) ""Kitsch, After LIKE, LOVE DIVE, I AM"" 전체 직캠(Fancam) [4K 60p] @연세대학교 축제 아카라카",3126414
414,아이브 녹음실 훔쳐보기 #shorts #ive #afterlike,3087269
568,아이브 After Like 중국버전ㅋㅋ🇨🇳🤣,3060444
49,My Satisfaction (My Satisfaction),3049285
108,아이브 레이와 경호원님의 I AM 챌린지,3039900
167,"[아이브] 신이 내린 특수효과 ""비"" (특수효과 레전드)",2976486
432,"IVE 아이브 'Take it', 'That's my Girl' @Welcome K-POP CLICK콘서트 011522",2965463
245,나이 속인 아이브...? (feat. 고음불가) | 아이브 리즈 안유진 아재개그 🧔 이서 세대차이 | 녕탐정 장원영,2936943
570,[IVE ON] 'LOVE DIVE' 녹화 비하인드,2912844
182,#한판만 IVE 아이브 'I AM' 기념 멤버들 좋아하는 음식 #asmr #shorts #ive,2879266
328,아이돌 작명할 명수 - 아이브 #할명수 #박명수 #IVE #shorts,2855431
169,IVE(아이브) - LOVE DIVE (Music Bank) | KBS WORLD TV 220422,2799637
393,우린 아이브~ 🐶🐿🐥🐰🐱🐯 #IAMchallenge #아이엠챌린지 #IVE #아이브 #IAM #아이엠 #IveIVE #Shorts,2793285
404,FA---N--TA---S---Y 🌟 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #GAEUL #가을 #Shorts,2784127
574,최고의 “핫퀸카퍼피” 아이브 안유..↗ 후~ 😘 앤다아아〰🫶❤‍🔥 #Shorts,2733248
