,title,hits
422,연습실의 팜하니 focus,5506395
274,NewJeans All Songs Playlist (뉴진스 플레이리스트) (With Lyrics),5312583
134,[단독샷캠4K] 뉴진스 'Attention' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220807,5303065
190,NewJeans (뉴진스) 'Attention' Dance Practice (ver.3),5299946
241,[뉴진스] 하찮게 웃는 하니도 귀여운,5254394
64,NewJeans 'New Jeans (ft. The Powerpuff Girls)' Lyrics (뉴진스 New Jeans 가사) (Color Coded Lyrics),5242751
468,[뉴진스] 김민지 동생들에게 기빨리다,5183800
84,NewJeans 'ETA' Lyrics (뉴진스 ETA 가사) (Color Coded Lyrics),5136836
157,Hype boy - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 220812 방송,5109926
211,[ENG] 뉴진스 초대석,5065193
423,컴백…언젠가…하시겠죠..?🥲그때까지 뉴진스 파이팅 해야지🙌#부석순 with #하니 #해린 #NewJeans #뉴진스 #파이팅해야지 #BSS_Fighting #shorts,5054383
57,Baby we're GODS 🤍 #NewJeans #뉴진스 #NewJeans_GODS #Time_to_NewJeans,5029100
295,[4K] NewJeans(뉴진스) “Hurt” Band LIVE Concert 최초로 공개하는 뉴진스의 Hurt FULL ver.💗 [it’s KPOP LIVE 잇츠라이브],4973587
270,NewJeans (뉴진스) 'OMG' Dance Clip,4949853
4,New Jeans Playlist 2023 | All Songs | 뉴진스 재생 목록 [Updated],4894208
291,뉴진스 - Hype boy 추는 박진영 | #shorts,4876197
122,NewJeans(뉴진스) - OMG @인기가요 inkigayo 20230129,4816631
273,뉴진스 민지 성형 폭로... 자연 아니였어?,4811635
150,NewJeans (뉴진스) 'Hurt (250 Remix)' Special Video,4805562
440,뉴진스 하니가 본국 베트남에서 인기가 없는 이유 #shots,4802451
160,[K-Choreo 8K HDR] 뉴진스 직캠 'New Jeans' (NewJeans Choreography) @MusicBank 230714,4628907
539,아이스크림 카트 앞에서도 #ImSuperShy 😋🍦#NewJeans #뉴진스#NewJeans_SuperShy #NewJeans_GetUp#Time_to_NewJeans,4569594
261,[뉴진스] 해린이 데뷔 14일만에 걸그룹 올타임 레전드 찍은 장면 (업스케일링),4561853
480,뮤직뱅크 출근길 with 𝓸𝓶𝓰 ⛄️#NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto #Year_of_NewJeans,4558120
186,NewJeans (뉴진스) 'New Jeans' Dance Practice,4517495
243,[안방1열 풀캠4K] 뉴진스 'OMG' (NewJeans FullCam)│@SBS Inkigayo 230115,4508261
426,남동생 뉴진스 민지 만들기#shorts,4490483
100,NewJeans(뉴진스) - OMG @인기가요 inkigayo 20230115,4406554
132,NewJeans (뉴진스) 'Cookie' Lyrics (Color Coded Lyrics),4388691
53,OMG - 뉴진스(NewJeans) [뮤직뱅크/Music Bank] | KBS 230127 방송,4385921
331,뉴진스 위버스콘 메이크업이 레전드인 이유 #shorts,4343407
391,OMG와 함께하는 롤러코스터 🎢#NewJeans #뉴진스#HANNI#DANIELLE #HYEIN#Year_of_NewJeans#LeeumMuseumofArt,4287530
564,외쳐 ETA 💙#NewJeans #뉴진스 #NewJeans_ETA #NewJeans_GetUp #Time_to_NewJeans,4224517
140,뉴진스 OMG 씹덕 풀버전,4218142
318,NewJeans 뉴진스 'Bad Cookie',4170222
315,[단독샷캠4K] 뉴진스 'Cookie' 단독샷 별도녹화│NewJeans ONE TAKE STAGE @SBS Inkigayo 220807,4157022
147,[안방1열 풀캠4K] 뉴진스 'Ditto' (NewJeans FullCam)│@SBS Inkigayo 230115,4122632
357,연예인들도 팬 된다는 뉴진스 인기 수준 ㄷㄷ #shorts,4080500
595,뉴진스 최악의 방송사고 논란ㅉㅉ,4018142
364,뉴진스 Ditto 씹덕 리믹스 ㅋㅋㅋㅋㅋㅋ,3916113
385,"""완전히 탁상행정이지! 당장 다 뽑아버려야 해""…'명동 퇴근길 지옥' 갇힌 시민들의 분노 현장 직접 가보니 (현장영상) / SBS",3898213
101,[Full Album] NewJeans (뉴진스) - Get Up,3895295
437,[뉴진스] 그래 이게 가수지..,3891699
447,[NewJeans - Hype Boy] #엠카운트다운 EP.767 | Mnet 220825 방송,3868727
110,[Full Album] NewJeans (뉴진스) - ALL SONGS (Playlist),3857521
183,NewJeans (뉴진스) 'Tell me (FRNK Remix)',3807575
204,(SUB) 뉴진스~💕 예능에서 제일 나쁜 사람 만났으니까 이제 뭐든 할 수 있어요ㅣep.113,3806945
301,[뉴진스] 이쯤 되면 하니 놀리기 위해 태어난,3794633
515,[뉴진스] 하니가 사람 꼬시는 영상,3775172
193,뉴진스 막내 혜인이 초6 시절,3772710
309,[뉴진스] 드디어 풀린 다만세 고음파트,3768549
113,"[#유퀴즈] 뉴진스 궁금하면 Attention🙌 정산 비하인드부터 숙소, 일상, 댄스 메들리까지🐰 | #샾잉",3762197
250,"호응 레전드 청룡영화상 고경표 (feat.뉴진스, 지코) [청룡영화상]",3740213
275,[MPD직캠] 뉴진스 직캠 8K 'Hype Boy' (NewJeans FanCam) | @MCOUNTDOWN_2022.8.4,3737599
37,[뉴진스] 도쿄시민들 포상시켜주는 민지쨩,3711014
344,[제37회 골든디스크] NewJeans - 'Opening + Attention (Golden Disc ver.) + Hype Boy + OMG' ♪｜JTBC 230107 방송,3665895
668,Greek Commando Extreme Workout / Slidismode,3660587
